country,category,n_weeks,total_spend,total_apr,avg_weekly_spend,overall_margin,pearson_r,best_week_spend,best_week_margin,max_spend,min_spend,max_margin,min_margin,missed_apr
United Kingdom,Gutter Cleaning,11,1973,-452,179.36363636363637,-0.2290927521540801,-0.7029698356390018,217,0.41013824884792627,262,46,1.065217391304348,-0.6679389312977099,1261.2027649769584
United Kingdom,House Cleaning,12,24541,9682,2045.0833333333333,0.3945234505521372,-0.6972386147323271,1313,0.8339680121858339,2847,1099,0.8339680121858339,0.22572912504994008,10784.408987052553
United Kingdom,Wedding Photography,12,12630,5895,1052.5,0.4667458432304038,-0.6896149056110219,577,1.4003466204506065,1731,385,1.4003466204506065,-0.0017331022530329288,11791.377816291162
United Kingdom,General Plumbing,10,3799,-582,379.9,-0.1531982100552777,-0.6840113595041194,352,0.13920454545454544,566,96,0.3541666666666667,-0.42473118279569894,1110.838068181818
United Kingdom,Conservatory Installation,7,5996,2140,856.5714285714286,0.35690460306871247,-0.6730374455160403,445,1.208988764044944,1478,445,1.208988764044944,-0.1380813953488372,5109.0966292134835
Canada,Personal Trainers,4,892,269,223.0,0.3015695067264574,-0.6433300222218936,253,0.8142292490118577,417,89,0.8142292490118577,-0.10071942446043165,457.292490118577
Deutschland,Tutoring,12,1976,872,164.66666666666666,0.44129554655870445,-0.6287562983674184,182,1.3131868131868132,186,13,2.0,-0.3825136612021858,1722.8571428571427
Canada,Property Extensions,12,5982,3785,498.5,0.6327315279170845,-0.623791067513914,284,1.8591549295774648,590,250,1.8591549295774648,-0.12213740458015267,7336.464788732394
United Kingdom,Air Conditioning Installation,6,2025,1765,337.5,0.8716049382716049,-0.6193715228267096,227,1.3656387665198237,730,109,2.63302752293578,0.6167664670658682,1000.4185022026431
United Kingdom,Kitchen Installation & Remodelling,12,9811,3282,817.5833333333334,0.33452247477321373,-0.6180555758865116,523,1.2982791586998088,1355,500,1.2982791586998088,0.11955719557195572,9455.416826003824
United Kingdom,Painting & Decoration - Interior,12,41455,10390,3454.5833333333335,0.2506332167410445,-0.6018965794023443,2417,0.40752999586263966,6576,1491,0.8497652582159625,0.030346820809248554,6504.155978485727
United Kingdom,End of Tenancy Cleaning,12,7187,2709,598.9166666666666,0.37693056908306666,-0.5660590078256801,667,0.7451274362818591,781,292,0.7451274362818591,0.09475032010243278,2646.230884557721
United Kingdom,Removal Companies,12,4897,2221,408.0833333333333,0.4535429855013273,-0.5607797612679396,258,1.1705426356589148,590,207,1.1705426356589148,0.005291005291005291,3511.147286821706
United Kingdom,Brick & Block Paving Services,12,11376,4136,948.0,0.36357243319268634,-0.5496379642107005,867,0.9307958477508651,1302,482,0.9307958477508651,-0.1359447004608295,6452.733564013841
United States,TV Installation & Mounting,12,6467,523,538.9166666666666,0.08087211999381475,-0.5460699233005375,407,1.0393120393120394,710,358,1.0393120393120394,-0.3506224066390041,6198.230958230959
United States,Immigration Lawyers,12,43148,17185,3595.6666666666665,0.39828033744321867,-0.5427635414099438,3198,0.8652282676672921,4559,2896,0.8652282676672921,0.09549461312438785,20147.869293308322
United States,Dog Training,12,42966,15019,3580.5,0.34955546245868824,-0.5331672857680732,3327,0.6525398256687707,3998,3327,0.6525398256687707,0.09362348178137651,13018.0261496844
United States,Architectural Services,12,33871,16646,2822.5833333333335,0.49145286528298543,-0.4872118306326775,2653,0.843950245005654,3637,2362,0.843950245005654,0.1517734396480616,11939.438748586505
United States,Residential Interior Designers,12,10695,7081,891.25,0.6620850864890135,-0.4709212353971817,744,1.8413978494623655,1383,639,1.8413978494623655,0.07736804049168475,12612.75
United Kingdom,Boiler Installation or Replacement,12,9226,1337,768.8333333333334,0.1449165402124431,-0.4267247847343351,575,0.7617391304347826,1550,226,1.202156334231806,-0.33269961977186313,5690.805217391304
Canada,Home & Domiciliary Care,12,4131,1195,344.25,0.28927620430888407,-0.4208574691778677,284,0.5352112676056338,719,131,1.0588235294117647,-0.10967741935483871,1015.9577464788731
United States,Photo Booth Hire,12,21061,6005,1755.0833333333333,0.2851241631451498,-0.4052233216834106,1521,0.5029585798816568,2234,1324,0.5029585798816568,0.045658012533572066,4587.810650887575
United States,Commercial & Office Cleaning,12,5125,1134,427.0833333333333,0.22126829268292683,-0.4039870249517253,272,1.5735294117647058,768,94,2.3617021276595747,-1.0,6930.338235294117
Canada,Landscaping,6,2979,1347,496.5,0.4521651560926485,-0.40227284876449454,447,0.7427293064876958,790,192,0.765625,0.21038961038961038,865.5906040268455
United States,Catering,12,29726,9571,2477.1666666666665,0.3219740294691516,-0.3858513516333517,2000,0.667,3190,1966,0.667,0.08761329305135952,10256.242000000002
Ireland,Painting & Decoration - Interior,9,1672,487,185.77777777777777,0.29126794258373206,-0.3839460860470743,117,1.6837606837606838,381,74,1.6837606837606838,-0.4899598393574297,2348.2478632478633
United States,House Cleaning,12,42964,17825,3580.3333333333335,0.4148822269807281,-0.37645333178745655,3337,0.8837278993107581,4131,2943,0.8837278993107581,0.13915382734164833,20143.48546598741
United Kingdom,Home Insulation,12,5588,1611,465.6666666666667,0.2882963493199714,-0.3712695419162967,364,1.7747252747252746,723,313,1.7747252747252746,-0.21040723981900453,8306.164835164835
United States,Private Investigators,12,11895,1464,991.25,0.12307692307692308,-0.36568127751593643,845,0.421301775147929,1679,773,0.421301775147929,-0.10526315789473684,3547.3846153846152
South Africa,Roof Repair,12,3463,2045,288.5833333333333,0.5905284435460584,-0.3548315843614233,247,1.3157894736842106,521,239,1.3157894736842106,0.049773755656108594,2511.5789473684217
Ireland,Bathroom Installation & Remodel,9,2148,1057,238.66666666666666,0.4920856610800745,-0.348285080929205,328,1.5914634146341464,386,89,1.6853932584269662,-0.4794952681388013,2361.4634146341464
Ireland,Tree Surgery & Removal,8,3689,-2090,461.125,-0.5665492003252914,-0.3449992695788204,611,-0.23567921440261866,637,115,-0.17391304347826086,-0.823240589198036,1220.5793780687397
United States,Security Guard Services,12,3353,2270,279.4166666666667,0.6770056665672533,-0.33792447042110235,275,1.509090909090909,730,132,2.4696969696969697,-0.5466321243523317,2789.981818181818
United States,Web Design,12,28038,5624,2336.5,0.2005849204650831,-0.2921268616625568,1283,0.5627435697583788,4050,1283,0.5627435697583788,-0.21737066919791173,10154.204208885425
Ireland,Gardening,9,1592,-278,176.88888888888889,-0.17462311557788945,-0.27776929845600806,99,0.36363636363636365,306,99,0.36363636363636365,-0.7584541062801933,863.9090909090909
United States,Limousine Hire,12,17845,7927,1487.0833333333333,0.4442140655645839,-0.27699738003848684,1464,0.9398907103825137,1641,1194,0.9398907103825137,0.13351134846461948,8845.349726775956
Canada,Driveway Installation,12,3974,3857,331.1666666666667,0.9705586311021641,-0.2369481112673186,334,2.7335329341317367,425,282,2.7335329341317367,-0.45647058823529413,7006.059880239522
Canada,Painting & Decoration - Interior,5,2654,2260,530.8,0.8515448379804069,-0.17993039915728445,598,1.2809364548494984,1033,180,1.2809364548494984,0.3922518159806295,1139.6053511705686
Canada,Kitchen Refurbishment,4,594,-39,148.5,-0.06565656565656566,-0.1629731035100264,101,2.0396039603960396,252,28,2.0396039603960396,-1.0,1259.5247524752474
Canada,Limousine Hire,10,1109,355,110.9,0.3201082055906222,-0.1307717612470569,252,0.4880952380952381,408,50,1.2745098039215685,-0.25333333333333335,186.29761904761904
Canada,General Builders,8,1878,-616,234.75,-0.32800851970181044,-0.11464039890034987,270,0.14814814814814814,270,65,0.14814814814814814,-0.6926406926406926,894.2222222222222
Deutschland,Personal Trainers,12,1409,-953,117.41666666666667,-0.6763662171753017,-0.07838538401877479,120,-0.275,122,83,-0.275,-0.9098360655737705,565.525
United Kingdom,Solar Panel Installation,7,1800,-983,257.14285714285717,-0.5461111111111111,-0.06385285784684083,145,-0.15862068965517243,366,145,-0.15862068965517243,-1.0,697.4827586206897
United States,Personal Trainers,12,18927,4125,1577.25,0.21794262165160883,-0.010006709338844467,1375,0.4254545454545455,2179,1301,0.4254545454545455,-0.05296610169491525,3927.578181818182
Deutschland,DJ,12,2077,307,173.08333333333334,0.1478093403948002,-0.002589593073056256,185,1.0756756756756756,185,122,1.0756756756756756,-0.4419889502762431,1927.178378378378
United States,Unassigned,7,4861,-4861,694.4285714285714,-1.0,,615,-1.0,1236,28,-1.0,-1.0,0.0
United Kingdom,Asbestos Removal & Surveys,6,1019,219,169.83333333333334,0.21491658488714427,0.020663427033390244,178,0.6797752808988764,187,123,0.6797752808988764,-0.25668449197860965,473.6910112359551
Canada,Roofing Installation or Replacement,7,528,444,75.42857142857143,0.8409090909090909,0.03560434142750715,46,1.891304347826087,100,37,1.891304347826087,-0.5675675675675675,570.6086956521739
United Kingdom,Tutoring,12,12094,649,1007.8333333333334,0.05366297337522739,0.04283628571875001,909,0.8107810781078107,2312,233,0.8107810781078107,-0.3021346469622332,9156.586358635863
France,Wedding Photography,12,2942,56,245.16666666666666,0.019034670292318152,0.06639157256340691,186,0.6505376344086021,326,186,0.6505376344086021,-0.4605809128630705,1857.8817204301074
South Africa,Solar Panel Installation,12,3405,2630,283.75,0.7723935389133627,0.15132739486973956,255,1.9137254901960785,457,245,1.9137254901960785,0.08163265306122448,3886.2352941176478
United Kingdom,Loft Conversions,8,4638,782,579.75,0.16860715825786976,0.1606859950313446,1533,0.45140247879973905,1533,79,0.8480243161094225,-0.4020100502512563,1412.6046966731897
United Kingdom,Home & Domiciliary Care,12,41923,15357,3493.5833333333335,0.3663144336044653,0.1694400644898918,3288,0.6940389294403893,5209,2710,0.6940389294403893,-0.010332103321033211,13739.19403892944
United Kingdom,Mould Inspection & Remediation,4,1142,-300,285.5,-0.2626970227670753,0.23345499146843798,343,0.1836734693877551,354,199,0.1836734693877551,-0.6468926553672316,509.7551020408163
United States,Bookkeeping Services,12,17517,2235,1459.75,0.12759034081178283,0.28959417159104905,1651,0.8522107813446396,2375,727,0.8522107813446396,-0.7440239043824701,12693.176256814051
Ireland,Home Insulation,8,571,-181,71.375,-0.3169877408056042,0.3088077663711098,64,0.1875,194,8,0.1875,-1.0,320.0625
United States,DJ,12,47113,15471,3926.0833333333335,0.3283807017171481,0.3457217292455953,3885,0.477992277992278,4317,3454,0.477992277992278,0.11691990728817925,7048.6501930501945
Canada,Bathroom Installation & Remodel,12,8564,6793,713.6666666666666,0.7932041102288651,0.3979758505521484,805,1.5763975155279504,1639,401,1.5763975155279504,-0.3352380952380952,6707.2683229813665
United States,Wedding Videography,6,786,-325,131.0,-0.41348600508905853,0.4176086977438686,260,-0.3423076923076923,260,33,-0.3423076923076923,-1.0,111.94615384615383
Ireland,Driveway Installation,8,1201,-13,150.125,-0.010824313072439634,0.47307229384404054,155,0.9096774193548387,229,23,0.9096774193548387,-1.0,1183.5225806451613
Canada,CCTV Installation,8,836,-428,104.5,-0.5119617224880383,0.48286741634284164,102,-0.049019607843137254,163,58,-0.049019607843137254,-0.8653846153846154,387.01960784313724
Canada,Dog Training,7,683,-170,97.57142857142857,-0.24890190336749635,0.6306147467597387,104,0.125,111,50,0.125,-0.66,262.375
United Kingdom,Architectural Services,12,6763,546,563.5833333333334,0.08073340233624131,0.6394920180098499,658,0.6641337386018237,854,5,0.6641337386018237,-1.0,3945.5364741641333
United Kingdom,Double Glazing,4,705,-424,176.25,-0.601418439716312,0.671670970617924,361,-0.3462603878116344,361,1,-0.3462603878116344,-1.0,179.88642659279776
United Kingdom,Roofing Installation or Replacement,4,671,922,167.75,1.3740685543964233,0.7051772601500313,178,-0.2696629213483146,241,21,-0.2696629213483146,-1.0,161.0561797752809
Canada,Wedding Photography,6,845,-74,140.83333333333334,-0.08757396449704143,0.7335870052121145,219,0.7625570776255708,219,55,0.7625570776255708,-1.0,718.3607305936073
United Kingdom,Roof Repair,8,25769,-1397,3221.125,-0.05421242578291746,0.7923240076454166,3779,0.2929346387933316,5915,173,0.2929346387933316,-0.7816091954022989,8962.63270706536
United States,Electric Charge Points Installation,4,1191,-189,297.75,-0.15869017632241814,0.8340163215564808,410,0.08780487804878048,410,167,0.08780487804878048,-0.5688622754491018,373.57560975609755
United Kingdom,Property Management,8,1729,-1107,216.125,-0.6402544823597455,0.8348763530022099,584,-0.21746575342465754,584,121,-0.21746575342465754,-1.0,731.0017123287671
